E00125:9:H05MEALXX:7:1118:5293:10802	1000195	1000228	33
E00125:9:H05MEALXX:7:1217:18285:64809	1000169	1000229	60
E00170:22:H00WVALXX:1:2223:26314:35713	1000170	1000230	60
E00170:22:H00WVALXX:1:2120:4481:16885	1000204	1000233	29
E00170:22:H00WVALXX:1:2120:4644:17061	1000205	1000234	29
E00170:22:H00WVALXX:1:2120:4684:17026	1000206	1000235	29
E00125:9:H05MEALXX:7:2210:25684:43062	1000216	1000239	23
E00121:9:H00UWALXX:7:1107:15504:52749	1000191	1000240	49
E00170:22:H00WVALXX:1:2106:10003:72439	1000192	1000241	49
E00170:22:H00WVALXX:1:1105:21858:12068	1000189	1000243	54
E00170:22:H00WVALXX:1:1105:21878:12068	1000190	1000244	54
E00170:22:H00WVALXX:1:1123:21706:67534	1000200	1000245	45
E00121:9:H00UWALXX:7:2101:20944:19663	1000198	1000250	52
E00170:22:H00WVALXX:1:1210:24050:43080	1000186	1000251	65
E00170:22:H00WVALXX:1:2123:19087:65389	1000178	1000254	76
E00170:22:H00WVALXX:1:1214:21290:51061	1000214	1000255	41
E00170:22:H00WVALXX:1:2118:9556:53241	1000185	1000256	71
E00170:22:H00WVALXX:1:1119:30049:11242	1000167	1000260	93
E00125:9:H05MEALXX:7:2201:14773:42412	1000171	1000261	90
E00170:22:H00WVALXX:1:2219:2654:23987	1000161	1000262	101
E00121:9:H00UWALXX:7:1115:23939:43554	1000242	1000263	21
E00170:22:H00WVALXX:1:1212:28638:65477	1000196	1000264	68
E00170:22:H00WVALXX:1:2102:14651:62980	1000175	1000267	92
E00170:22:H00WVALXX:1:1203:17483:39862	1000177	1000270	93
E00170:22:H00WVALXX:1:2104:26080:5844	1000162	1000271	109
E00125:9:H05MEALXX:7:2101:15626:61152	1000194	1000272	78
E00170:22:H00WVALXX:1:2207:21543:68378	1000218	1000277	59
E00170:22:H00WVALXX:1:1105:6278:21227	1000172	1000278	106
E00125:9:H05MEALXX:7:1203:3892:24726	1000237	1000279	42
E00170:22:H00WVALXX:1:1202:14946:60783	1000165	1000280	115
